IC_L_7: t= 9.30, L= 405.36, L_straight= 403.45, slack=  1.91, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.40, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.40, L= 405.41, L_straight= 403.48, slack=  1.93, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.48, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.50, L= 405.46, L_straight= 403.51, slack=  1.95, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.60, L= 405.51, L_straight= 403.54, slack=  1.97, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.70, L= 405.55, L_straight= 403.57, slack=  1.99, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.80, L= 405.60, L_straight= 403.60, slack=  2.01, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.90, L= 405.65, L_straight= 403.62, slack=  2.02, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.00, L= 405.69, L_straight= 403.65, slack=  2.04, T_bat= 1.24, T_rov= 0.49, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.10, L= 405.73, L_straight= 403.68, slack=  2.05, T_bat= 1.86, T_rov= 0.50, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.20, L= 405.78, L_straight= 403.71, slack=  2.07, T_bat= 2.79, T_rov= 0.50, F_drag_cable=( 0.00,  5.08), Fy_cmd= -2.00, desired=  0.39, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.30, L= 405.82, L_straight= 403.74, slack=  2.08, T_bat= 4.19, T_rov= 0.50, F_drag_cable=( 0.00,  5.06), Fy_cmd= -2.00, desired=  0.39, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.40, L= 405.86, L_straight= 403.77, slack=  2.10, T_bat= 6.29, T_rov= 0.50, F_drag_cable=( 0.00,  5.04), Fy_cmd= -2.00, desired=  0.40, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.50, L= 405.91, L_straight= 403.79, slack=  2.11, T_bat= 4.44, T_rov= 0.50, F_drag_cable=( 0.00,  5.03), Fy_cmd= -2.00, desired=  0.40, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.60, L= 405.95, L_straight= 403.82, slack=  2.13, T_bat= 6.27, T_rov= 0.50, F_drag_cable=( 0.00,  5.02), Fy_cmd= -2.00, desired=  0.40, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
