[SCEN] t=0.00 scen=Fx crit=(:-5) T_bat=0.5 y=-10.00 x=0.00 L=10.00
IC_L_7: t= 8.30, L= 8.53, L_straight=  8.22, slack=  0.31, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.16, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.40, L= 8.52, L_straight=  8.21, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.23, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.16, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.50, L= 8.50, L_straight=  8.19, slack=  0.31, T_bat= 0.46, T_rov= 0.50, F_drag_cable=( 0.23, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.16, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.60, L= 8.49, L_straight=  8.17, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.23, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.16, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.70, L= 8.47, L_straight=  8.16, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.23, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.80, L= 8.45, L_straight=  8.14, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.23, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.90, L= 8.44, L_straight=  8.13, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.23, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.00, L= 8.42, L_straight=  8.11, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.10, L= 8.41, L_straight=  8.10, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 9.20, L= 8.39, L_straight=  8.08, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.22, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
